"n features","Obj","Sub","Obj","Sub","Obj","Sub"
"5.0","73.8","73.2","81.8","81.3","78.8","78.60000000000001"
"10.0","76.8","76.5","82.19999999999999","81.89999999999999","80.80000000000001","80.4"
"15.0","81.5","81.39999999999999","83.8","83.3","81.69999999999999","81.39999999999999"
"20.0","81.69999999999999","81.69999999999999","83.2","82.6","82.19999999999999","81.8"
"25.0","82.89999999999999","82.69999999999999","83.2","82.5","81.69999999999999","81.39999999999999"
"30.0","83.7","83.5","83.6","83.0","82.39999999999999","82.0"
"35.0","81.8","81.8","83.39999999999999","82.8","82.5","82.19999999999999"
"40.0","82.39999999999999","82.39999999999999","83.1","82.5","81.6","81.3"
"45.0","81.39999999999999","81.3","82.69999999999999","82.0","82.0","81.69999999999999"
"50.0","81.8","81.69999999999999","82.69999999999999","82.0","81.8","81.3"
"55.0","81.2","81.0","83.2","82.69999999999999","81.69999999999999","81.39999999999999"
